 INDUSTRY COMPARATIVE ANALYSIS,PUBLIC OR PRIVATE/ % MARKET SHARE,NA,private,PRI  11.6%,Priv.  6.7%,  Pub.  5.5%,Pub- 3.5%,Pub. 3.3%,Pri.  2%,,,,,,,
"Patient Portal, Expedited Apt. Finder, Mobile Apps.",> engagement = advanced healthcare,✔,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,,,,,,,
Marketing consults,Optimized patient volume,✔,✔,?,?,✔,?,✔,?,,,,,,,
Online 'Triage' service - starts june 2017,Cost-effective care,✔,X,X,X,X,X,X,X,,,,,,,
Annual Wellness Visit & Chronic Care Management,"Healthier patients, healthier bottom line",✔,X,x,?,✔,?,✔,?,,,,,,,
     Preventative & affordable Self Care ,Inspires Paiteints- Improves outsomes,✔,X,X,X,X,X,X,X,,,,,,,
DATA ANALYSIS: ,Starts June 2017, , , , , ,Cerner,Athena,Greenway,,,,,,,
"     Built-in so more affordabel, efficent & accurate",Focused on Optimizing PHM,✔,X,X,X,X,X,X,X,,,,,,,
 POPULATION HEALTH MGMT - Starts June 2017  ,   #1 investment: Trippling to $38B by 2020,Synergy+,Kareo,Epic,Practice ,NextGen,Cerner,Athena,Greenway,,,,,,,
"Built-in: more a ffordable, scaleable PHM services",More effcient and costs less,✔,X,X,X,X,X,X,X,,,,,,,
    Comprehensive Data of all Methods of Treatment,Gives more options patients demand,✔,X,X,X,X,X,X,X,,,,,,,
    In-house Clinical Experts: evaluate  all known methods ,> quality of care & reduces chronic disease ,✔,X,X,X,X,X,X,X,,,,,,,
SUMMARY OF KEY VALUES,,,,,,,,,,,,,,,,
Private Payers anticipates 80% VBC reimbursements by 2020. When added to CMS.Gov plan doctors need all-inclusive services or sustian major losses.,,,,,,,,,,,,,,,,
"EHR systems must be integration-ready & highly interoperable, or doctors may have to use costly HIE services controlled or influenced by competing interests.",,,,,,,,,,,,,,,,
Novoclinical is the only system known to greatly reduce RCM and Administrative costs. ,,,,,,,,,,,,,,,,
Synergy+ highly specialized services enhance revenue and cut costs. Our unique combination of services is hard to beat!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
                                   BY COMBINING NOVOCLINICAL'S DISRUPTIVE TECHNOLOGY + SYNERGY+ 'S  SPECIALIZED SERVICES = EXPONENTIAL SYNERGESTIC EFFECT ,,,,,,,,,,,,,,,,
                                                                             THAT NO COMPETITOR CAN EAXSILY MATCH. WE LIKE OUR POSITION!,,,,,,,,,,,,,,,,
